종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1725","63","3.79","1684","1768","1682","1.0","1181940294","91526844000","53.0"
"095570","AJ네트웍스","KOSPI",,"4590","-5","-0.11","4620","4675","4575","0.0","965488469","207710163810","45.0"
"006840","AK홀딩스","KOSPI",,"8470","-140","-1.63","8610","8630","8470","0.0","138063490","112206841670","13.0"
"054620","APS","KOSDAQ","중견기업부","4025","-70","-1.71","4070","4170","3995","0.0","229991095","74036739525","18.0"
"265520","AP시스템","KOSDAQ","우량기업부","20500","400","1.99","20500","21000","20000","0.0","3718256925","308541830500","15.0"
"211270","AP위성","KOSDAQ","우량기업부","14300","720","5.30","13900","15250","13190","3.0","41243989225","215676947200","15.0"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0.0","0","24247965555","9.0"
"027410","BGF","KOSPI",,"3855","-5","-0.13","3860","3870","3835","0.0","279999380","368988229305","96.0"
"282330","BGF리테일","KOSPI",,"103800","-400","-0.38","104500","105000","103500","0.0","3437640750","1794069442800","17.0"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3725","125","3.47","3630","3760","3605","0.0","403335273","233806698775","63.0"
"138930","BNK금융지주","KOSPI",,"15630","-100","-0.64","15810","15980","15520","1.0","8690451435","4914465157020","314.0"
"001460","BYC","KOSPI",,"41000","-450","-1.09","41450","41600","40450","0.0","267089050","256092150000","6.0"
"001465","BYC우","KOSPI",,"24300","-200","-0.82","24500","25000","24200","0.0","6542550","52338555000","2.0"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1393","-33","-2.31","1426","1439","1383","0.0","228090862","107113595526","77.0"
"001040","CJ","KOSPI",,"174800","1500","0.87","173500","175800","170300","0.0","18261874050","5100139250400","29.0"
"079160","CJ CGV","KOSPI",,"5810","-10","-0.17","5830","5930","5770","0.0","2432645690","962028759020","166.0"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","63700","-3000","-4.50","67300","67500","63400","0.0","5476119250","1396887109800","22.0"
